PARTICIPANT,CLASS,GENE1,GENE2,GENE3,GENE4
A48C,Tumoral (01A),5.5363,7.8055,3.4895,0.9779
A4BE,Tumoral (01A),13.6006,10.3580,3.8507,3.1000
A4G6,Tumoral (01A),0.0428,6.8944,2.3116,0.4135
A4GJ,Tumoral (01A),0.6747,9.6432,3.3382,2.8935
A4J5,Tumoral (01A),1.2629,8.4486,3.0833,12.3796
A4MH,Tumoral (01A),10.5365,9.4289,3.5660,6.3431
4256,Tumoral (01A),1.7846,6.5113,2.1145,1.0623
4267,Tumoral (01A),6.3006,9.8707,3.8859,0.3158
5716,Tumoral (01A),5.8745,6.0601,1.0010,4.9821
5734,Tumoral (01A),6.7536,4.5842,0.8060,64.9414
5804,Tumoral (01A),6.7504,5.7765,2.3563,2.6143
6177,Tumoral (01A),7.2514,9.3078,2.6096,126.4409
6456,Tumoral (01A),2.0689,9.1263,1.6611,166.3676
6522,Tumoral (01A),5.0278,5.9820,0.9027,30.8216
6706,Tumoral (01A),0.0338,5.8073,1.2928,1.9983
6801,Tumoral (01A),11.4339,5.6017,1.6350,44.9609
6874,Tumoral (01A),5.0914,7.4135,2.0671,46.9606
7703,Tumoral (01A),7.8634,6.1174,1.7061,107.2224
8289,Tumoral (01A),12.4212,9.7165,2.5443,0.1199
8366,Tumoral (01A),0.0613,6.7486,1.9714,0.8247
8384,Tumoral (01A),0.4817,8.8133,1.5824,0.2595
8575,Tumoral (01A),2.1493,8.4092,2.3558,0.8290
8663,Tumoral (01A),3.4125,8.2572,2.3489,0.2549
A448,Tumoral (01A),3.7922,6.1676,2.6618,43.9545
A4G3,Normal (11A),0.0084,10.3214,1.1435,0.0061
A4G3,Tumoral (01A),14.3367,6.7618,3.7531,21.7060
A4GC,Normal (11A),0.1023,9.0675,1.0633,0.0611
A4H4,Tumoral (01A),8.9150,6.9208,3.2935,25.0226
A4J2,Tumoral (01A),2.5004,10.3529,2.5615,0.1998
A4QI,Tumoral (01A),1.1462,7.5691,4.5464,26.0716
A4YY,Tumoral (01A),10.7134,7.4167,4.2173,9.1422
4187,Tumoral (01A),5.4671,6.4009,1.5830,13.8596
4437,Tumoral (01A),1.8149,5.6676,1.3338,28.6686
5577,Tumoral (01A),1.5337,6.8020,1.5282,2.3168
5733,Normal (11A),1.1207,3.9066,1.0082,0.7293
6453,Tumoral (01A),3.3125,6.4191,1.2392,54.8668
6710,Tumoral (01A),1.7283,5.5152,0.9843,1.0312
6817,Tumoral (01A),7.6261,8.1511,3.3077,13.5165
7717,Normal (11A),0.9471,4.9416,2.2526,0.7813
7957,Tumoral (01A),0.8289,7.9956,2.1826,7.9983
7968,Tumoral (01A),2.7886,7.6309,2.1543,10.9888
8060,Normal (11A),1.3573,6.2866,1.0424,0.2716
8077,Tumoral (01A),7.0964,5.6018,2.8436,7.6248
8286,Tumoral (01A),2.4378,8.6920,3.2255,9.3724
8363,Tumoral (01A),0.2693,7.1750,2.1294,0.8278
8381,Tumoral (01A),1.0605,11.0824,4.3048,1.1315
8536,Tumoral (01A),9.6371,4.9048,2.2933,17.8828
