gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
RPL3|6122_calculated,394.9511,434.7842,22,q,
COX8A|1351_calculated,269.972,432.817,11,q,12-
GNB2L1|10399_calculated,342.3248,430.2476,5,q,
LY6E|4061_calculated,197.6542,424.5972,8,q,
RPS2|6187_calculated,271.7588,423.4898,16,p,
MIR1282|100302254_calculated,297.3618,417.0028,15,,
IFITM1|8519_calculated,268.7481,413.7493,11,p,
SLC25A6|293_calculated,363.2727,411.7852,X,p,22.32 and Y
COX7C|1350_calculated,388.0392,410.211,5,q,
FAU|2197_calculated,307.1455,407.075,11,q,
PSCA|8000_calculated,126.1359,406.6496,8,q,
TAGLN2|8407_calculated,223.1748,404.9831,1,q,21-
PLA2G2A|5320_calculated,159.5029,401.5238,1,p,
ITM2B|9445_calculated,421.6829,400.4403,13,q,
TUBA1A|7846|1of2_calculated,257.6533,398.9801,12,q,
RPL4|6124_calculated,346.2375,393.3859,15,q,
RPL10A|4736_calculated,368.9604,390.535,6,p,
ATP5B|506_calculated,228.6972,389.1488,12,p,
DJ439579|?_calculated,233.7757,388.7719,,,
JA375062|?|1of2_calculated,198.1603,387.5561,,,
CLIC1|1192_calculated,202.4046,387.4239,6,p,
GAST|2520_calculated,27.2974,384.7578,17,q,
COX6B1|1340_calculated,245.2427,384.7237,19,q,
GPX2|2877_calculated,185.2177,384.4861,14,q,
MYL12B|103910_calculated,257.2214,381.8291,18,p,
SH3BGRL3|83442_calculated,253.7885,371.8316,1,p,
ALDOA|226_calculated,225.7388,370.5359,16,p,
PKM2|5315_calculated,195.0986,368.347,,,
EIF1|10209_calculated,318.7323,365.988,17,q,
REG3A|5068_calculated,59.1721,360.7163,2,p,
COL3A1|1281_calculated,731.1284,358.434,2,q,
RPL34|6164_calculated,355.9747,354.0912,4,q,
RPS9|6203_calculated,304.099,350.9666,19,q,
COL1A2|1278_calculated,548.1548,349.5617,7,q,
LDHA|3939_calculated,206.9917,349.2906,11,p,
CTSE|1510_calculated,157.0105,342.4746,1,q,
IGFBP7|3490_calculated,752.1638,342.2785,4,q,
MALAT1|378938_calculated,611.128,341.7647,11,q,
IFI6|2537_calculated,269.2589,341.589,1,p,
HSP90B1|7184_calculated,210.4649,338.3064,12,q,24.2-
ACTN4|81_calculated,284.8658,335.5144,19,q,
UBC|7316|2of2_calculated,338.2988,334.1848,12,q,
RPL14|9045_calculated,284.4761,333.8709,3,p,22-
SLC25A5|292_calculated,181.8238,331.6354,X,q,
EPCAM|4072_calculated,160.4261,331.1877,2,p,
abParts|?|4of6_calculated,295.5917,330.5706,,,
DM075093|?_calculated,138.578,327.5996,,,
TUBB|203068_calculated,247.7441,327.5538,6,p,
ANXA2|302|1of2_calculated,185.9328,326.8246,15,q,
BC015662|?_calculated,123.1723,323.2945,,,
COX5B|1329_calculated,205.7428,321.6562,2,q,
TXN|7295_calculated,174.7721,319.2818,9,q,
RPL28|6158_calculated,246.1948,315.1459,19,q,
SPARC|6678_calculated,452.6498,314.5317,5,q,31-
MIR650|723778_calculated,95.8731,313.0181,22,q,
VIM|7431_calculated,588.2435,312.5335,10,p,
LGALS1|3956_calculated,591.594,311.3841,22,q,
MYL6|4637_calculated,577.6878,310.9692,12,q,
RNASE1|6035_calculated,200.8888,308.8851,14,q,
TMBIM6|7009_calculated,225.5475,306.6636,12,q,
PHGR1|644844_calculated,107.1017,301.6909,15,q,
CHCHD2|51142_calculated,184.6539,299.5835,7,p,
MYL9|10398_calculated,2739.3368,299.1312,20,q,
HLA-E|3133_calculated,273.8644,298.6092,6,p,
TSPAN8|7103_calculated,208.2525,298.5935,12,q,14.1-
IFI30|10437_calculated,157.8876,298.4238,19,p,
GABARAP|11337_calculated,283.2637,297.8568,17,p,
S100A8|6279_calculated,25.1626,295.0275,1,q,12-
TIMP1|7076_calculated,388.6145,292.7132,X,p,11.3-
COX7B|1349_calculated,233.3862,289.7773,X,q,
CALM2|805_calculated,318.5772,289.7567,2,p,21.3-
PI3|5266_calculated,66.5534,286.993,20,q,
ARF1|375_calculated,195.8745,286.8671,1,q,
CEACAM5|1048_calculated,192.151,283.9041,19,q,13.1-
RHOA|387_calculated,246.8302,280.5477,3,p,
PRDX1|5052_calculated,161.8565,278.8026,1,p,
YBX1|4904_calculated,225.4508,278.715,1,p,
APOE|348_calculated,227.9907,277.8215,19,q,
CST3|1471_calculated,265.2587,275.1768,20,p,
MYL12A|10627_calculated,208.1771,274.0954,18,p,
COX6A1|1337_calculated,145.2354,272.382,12,q,
ATP1B1|481_calculated,144.6504,270.4107,1,q,
RPL32|6161_calculated,222.3347,269.7191,3,q,13.3-
MIEN1|84299_calculated,48.9503,265.8276,17,q,
YWHAZ|7534_calculated,167.3385,265.7786,8,q,
CYSTM1|84418_calculated,119.073,265.6105,5,q,
JA429505|?|1of2_calculated,451.851,262.8676,,,
ATP6V0C|527_calculated,166.9262,262.7301,16,p,
ANPEP|290_calculated,135.1079,262.2648,15,q,25-
RPL13|6137_calculated,225.0894,262.2399,16,q,
LGALS4|3960_calculated,131.2051,259.8153,19,q,
BSG|682_calculated,178.5761,257.5181,19,p,
SPINT2|10653_calculated,103.9952,256.7034,19,q,
RPL5|6125_calculated,265.7531,256.6489,1,p,
HMGA1|3159_calculated,97.6613,256.2073,6,p,
REG4|83998_calculated,131.0064,255.4325,1,p,13.1-
AK293147|?_calculated,169.8342,255.3676,,,
MT2A|4502_calculated,264.7122,250.9305,16,q,
RPL36AL|6166_calculated,241.4097,249.1528,14,q,
CEACAM6|4680_calculated,143.1988,248.7811,19,q,13.1-
DJ439531|?_calculated,144.2042,243.8557,,,
HSP90AA1|3320_calculated,173.2894,243.5406,14,q,
PGA5|5222_calculated,96.614,242.4105,11,q,
ENO1|2023_calculated,110.999,239.2601,1,p,
ARPC3|10094_calculated,168.5022,238.215,12,q,
CLDN18|51208_calculated,104.6826,236.4647,3,q,
MDH2|4191_calculated,154.1741,235.9381,7,q,
S100A16|140576_calculated,92.5791,234.6715,1,q,
TUBA1B|10376_calculated,150.5276,234.5875,12,q,
CD81|975_calculated,361.1637,234.3025,11,p,
PLP2|5355_calculated,177.2579,233.479,X,p,
MUC1|4582_calculated,102.9594,232.9305,1,q,
EEF1G|1937_calculated,171.6622,232.0027,11,q,
SLPI|6590_calculated,78.1085,230.4764,20,q,
C1QB|713_calculated,181.8848,230.4699,1,p,36.3-
MARCKSL1|65108_calculated,123.5515,226.4958,1,p,
BC078172|?_calculated,392.2892,222.9775,,,
CRIP1|1396_calculated,175.2346,222.6877,14,q,
ARHGDIA|396_calculated,150.4422,220.0462,17,q,
H19|283120_calculated,115.3182,219.5953,11,p,
ZFP36|7538_calculated,382.4695,217.2793,19,q,
BGN|633_calculated,321.8807,216.6463,X,q,
TUBA1C|84790|2of2_calculated,103.4016,215.9409,12,q,
TUBB4B|10383_calculated,107.6405,215.9134,9,q,
RPL23|9349_calculated,203.003,215.2459,17,q,
CAPNS1|826_calculated,152.3885,213.8984,19,q,
YWHAE|7531_calculated,138.3216,213.5102,17,p,
IFITM2|10581_calculated,261.993,212.2222,11,p,
abParts|?|3of6_calculated,118.866,211.8392,,,
FABP1|2168_calculated,57.1198,211.6721,2,p,
MUC5AC|4586_calculated,95.7127,210.699,11,p,
HLA-DRB5|3127_calculated,132.3854,210.2846,6,p,
RPS24|6229_calculated,212.7695,210.2664,10,q,
LOC284889|284889_calculated,99.075,209.8629,,,
PSMB3|5691_calculated,125.6413,209.6148,17,q,
PCBP1|5093_calculated,175.8434,209.154,2,p,13-
HLA-DPA1|3113_calculated,171.9857,207.9078,6,p,
SFN|2810|2of2_calculated,46.9755,205.8503,1,p,
EDF1|8721_calculated,152.575,205.4041,9,q,
TPI1|7167_calculated,100.294,205.0474,12,p,
TUBA1C|84790|1of2_calculated,99.0341,204.9088,12,q,
PPIB|5479_calculated,129.9639,204.7619,15,q,21-
SSR4|6748_calculated,110.0357,204.5018,X,q,
CTSB|1508_calculated,198.511,203.5371,8,p,
NME1-NME2|654364_calculated,84.5642,200.4538,17,q,
BTF3|689_calculated,177.3226,200.2647,5,q,
UBD|10537_calculated,117.557,198.8927,6,p,
DYNLL1|8655_calculated,161.045,197.8219,12,q,
RPS27A|6233_calculated,193.7601,195.3572,2,p,
JUNB|3726_calculated,235.294,195.2133,19,p,
RPL31|6160_calculated,179.749,194.3929,2,q,
PDLIM1|9124_calculated,159.7205,193.5021,10,q,
CHCHD10|400916_calculated,120.9127,192.2588,22,q,
LUM|4060_calculated,408.3466,192.132,12,q,
GRN|2896_calculated,142.5325,189.8769,17,q,
RPL39|6170_calculated,172.9238,188.923,X,q,
MUC13|56667_calculated,73.4551,188.7622,3,q,
COX5A|9377_calculated,105.2905,187.7384,15,q,
EIF4G2|1982_calculated,196.983,187.1458,11,p,
COX7A2|1347_calculated,127.1708,187.0331,6,q,
SYNGR2|9144_calculated,114.8716,186.9853,17,q,
LSR|51599_calculated,86.0639,186.985,19,q,
DES|1674_calculated,2507.3146,186.3599,2,q,
HSPA5|3309_calculated,117.3841,186.1312,9,q,
KDELR1|10945_calculated,121.0218,185.9971,19,q,
CD151|977_calculated,193.2875,185.8124,11,p,
C11orf10|746_calculated,133.6349,185.4441,,,
NCL|4691_calculated,124.409,184.5899,2,q,
CDC42EP1|11135_calculated,82.3746,181.6914,22,q,
CALM3|808_calculated,152.9129,181.6613,19,q,13.2-
EZR|7430_calculated,98.6926,181.6081,6,q,
HNRNPA2B1|3181_calculated,135.7289,181.5937,7,p,
PDIA3|2923_calculated,108.6098,181.3457,15,q,
TCEB2|6923_calculated,137.057,181.1984,16,p,
DSTN|11034_calculated,503.3793,181.0158,20,p,
IGFBP4|3487_calculated,533.186,180.5682,17,q,12-
PSMA7|5688_calculated,113.4919,180.4378,20,q,
S100A14|57402_calculated,48.1153,179.6725,1,q,
GKN2|200504_calculated,46.7953,179.4124,2,p,
TSPO|706_calculated,82.3841,178.5682,22,q,
NDUFS5|4725_calculated,156.8042,178.3439,1,p,34.2-
APP|351_calculated,181.7091,178.3131,21,q,
YWHAB|7529_calculated,145.3803,177.815,20,q,
CTSA|5476_calculated,123.9245,177.2897,20,q,
DAD1|1603_calculated,129.0233,176.789,14,q,
ATP1A1|476_calculated,110.6977,176.6394,1,p,
MYH9|4627_calculated,202.3255,175.8897,22,q,
ANXA5|308_calculated,183.2426,175.7392,4,q,
JUND|3727_calculated,203.9457,175.4921,19,p,
abParts|?|1of6_calculated,81.0811,170.0703,,,
PTMS|5763_calculated,214.7835,169.9657,12,p,
SAT1|6303_calculated,106.6687,169.2041,X,p,
NPC2|10577_calculated,148.5568,168.676,14,q,
NDUFA1|4694_calculated,116.156,168.3627,X,q,
UBA52|7311_calculated,137.6399,168.1461,19,p,13.1-
C1QC|714_calculated,140.0307,166.7749,1,p,
ARPC1B|10095_calculated,119.5877,164.9115,7,q,
SOD1|6647_calculated,113.7916,164.8469,21,q,
GPX4|2879_calculated,136.4671,164.5644,19,p,
SRP14|6727_calculated,169.2781,164.119,15,q,
COPE|11316_calculated,99.091,163.383,19,p,
TFF3|7033_calculated,91.2716,162.7992,21,q,
PSME2|5721_calculated,78.8364,162.4443,14,q,
HNRNPF|3185|1of2_calculated,96.5514,161.7526,10,q,
RPL23A|6147_calculated,135.3179,161.0199,17,q,
RPL10|6134_calculated,137.8983,160.0432,X,q,
GPX1|2876_calculated,109.8807,159.2355,3,p,
RAC1|5879_calculated,124.4394,159.168,7,p,
C19orf33|64073_calculated,69.3073,158.7975,19,q,
ATP6V0E1|8992_calculated,156.1413,158.7368,5,q,
SERPINB1|1992_calculated,84.6995,158.1034,6,p,
RPN2|6185_calculated,89.3874,158.0944,20,q,12-
RPS15A|6210_calculated,162.3135,157.7926,16,p,
FLNA|2316_calculated,1162.9335,157.6572,X,q,
SFN|2810|1of2_calculated,37.2707,157.1613,1,p,
KDELR2|11014_calculated,106.1933,156.6251,7,p,
TMED2|10959_calculated,107.5408,156.0628,12,q,
ZFP36L2|678_calculated,165.9166,155.9443,2,p,22.3-
PSME1|5720_calculated,104.475,155.7362,14,q,
CST1|1469_calculated,62.2723,155.067,20,p,
HNRNPAB|3182_calculated,99.9737,154.7221,5,q,
HIGD2A|192286_calculated,133.3201,154.181,5,q,
TMEM176A|55365_calculated,127.0527,153.4089,7,q,
CD164|8763_calculated,131.0975,153.3312,6,q,
ARF4|378_calculated,125.336,153.2597,3,p,21.2-
HINT1|3094_calculated,131.429,152.3342,5,q,
H3F3B|3021|1of2_calculated,134.8218,151.8813,17,q,
GPRC5A|9052_calculated,74.6081,151.7444,12,p,13-
RAN|5901_calculated,87.0371,150.8154,12,q,
SEC61G|23480_calculated,96.4825,150.8063,7,p,
UQCRH|7388_calculated,95.9784,150.7477,1,p,
EIF5A|1984_calculated,77.4619,150.5537,17,p,13-
ERBB2|2064_calculated,32.507,150.2763,17,q,11.2-
PEBP1|5037_calculated,119.5755,149.8952,12,q,
TAGLN|6876_calculated,1130.0537,149.7365,11,q,
CXCL17|284340_calculated,39.1252,149.5639,19,q,
RAB7A|7879_calculated,124.7039,149.4417,3,q,
ATP5H|10476_calculated,116.6151,149.277,17,q,
ATP5G2|517_calculated,121.3454,149.1547,12,q,
UBL5|59286_calculated,124.8027,148.6933,19,p,
APOA1|335_calculated,15.6441,148.6516,11,q,23-
PHB2|11331_calculated,98.2976,148.4872,12,p,
UQCRC1|7384_calculated,85.8307,148.4497,3,p,
SERPINA1|5265_calculated,57.2519,148.2487,14,q,
MDK|4192_calculated,76.5656,147.6981,11,p,
NDUFA3|4696_calculated,117.2259,147.008,19,q,
ATP5D|513_calculated,92.3739,146.8467,19,p,
PDZK1IP1|10158_calculated,46.3875,146.4242,1,p,
RPL38|6169_calculated,140.2224,146.2668,17,q,
RPN1|6184_calculated,94.9554,145.7616,3,q,
FOS|2353_calculated,203.096,145.5571,14,q,
LAMP1|3916_calculated,126.362,144.6255,13,q,
C19orf43|79002_calculated,118.6335,143.8123,19,p,
GNG5|2787_calculated,105.644,143.4654,1,p,
SERPING1|710_calculated,295.5505,143.2949,11,q,
RPL18A|6142_calculated,94.9944,143.2315,19,p,
EIF6|3692_calculated,74.7673,143.1169,20,q,
CLDN3|1365_calculated,66.9438,142.4792,7,q,
NPM1|4869_calculated,95.1207,142.4373,5,q,
DDOST|1650_calculated,87.6097,142.2286,1,p,
SNRPD2|6633_calculated,102.3552,141.278,19,q,13.2-
BST2|684_calculated,100.3155,140.7917,19,p,
COTL1|23406_calculated,93.4347,140.522,16,q,
ANXA1|301_calculated,59.0583,140.1004,9,q,
PGK1|5230_calculated,78.7926,139.9423,X,q,
PRKCSH|5589_calculated,93.8774,138.9412,19,p,
HDGF|3068_calculated,72.934,138.8373,1,q,
RAB25|57111_calculated,56.0819,138.4642,1,q,
SDC4|6385_calculated,90.7856,137.8973,20,q,
IGHE|3497_calculated,123.6777,137.8294,14,q,
ARL6IP1|23204_calculated,79.3528,137.3877,16,p,12-
ACTG2|72_calculated,2169.1035,136.9224,2,p,
YWHAQ|10971_calculated,126.9123,136.5381,2,p,25.2-
CIB1|10519_calculated,99.4131,136.527,15,q,25.3-
AKR1B10|57016_calculated,35.6494,135.8501,7,q,
SNHG6|641638_calculated,120.6738,135.6616,8,q,
GSTK1|373156_calculated,93.7025,135.027,7,q,
A2M|2_calculated,356.0327,134.8707,12,p,
PPA1|5464_calculated,86.5284,134.6568,10,q,11.1-
GLTSCR2|29997_calculated,150.0983,134.4684,19,q,
RAB1B|81876_calculated,103.2954,134.4271,11,q,
EEF1A1|1915_calculated,125.8873,134.4248,6,q,
MAL2|114569_calculated,61.6824,133.917,8,q,
TXNIP|10628_calculated,381.1463,133.795,1,q,
COX4I1|1327_calculated,96.9826,133.5894,16,q,
TRIM28|10155_calculated,82.6977,133.2672,19,q,
TSTA3|7264_calculated,60.8109,133.0561,8,q,
PTBP1|5725_calculated,88.7585,132.8787,19,p,
MT1G|4495_calculated,99.8147,132.6991,16,q,
C3|718_calculated,291.738,132.4221,19,p,13.3-
TPM4|7171_calculated,128.7615,132.3697,19,p,
IER3|8870_calculated,67.8108,132.169,6,p,
ATP5A1|498_calculated,91.7531,131.9588,18,q,
FKBP1A|2280_calculated,98.507,131.8554,20,p,
CTSZ|1522_calculated,98.9682,131.4073,20,q,
PCNA-AS1|100302739_calculated,59.4347,131.188,20,p,
TMEM54|113452_calculated,54.9979,130.9405,1,p,35-
NDUFB7|4713_calculated,115.6958,130.8886,19,p,
GNAS|2778_calculated,110.8905,130.5077,20,q,13.2-
C19orf77|284422_calculated,54.0423,129.9519,,,
PRDX5|25824_calculated,72.667,129.8654,11,q,
SEC61B|10952_calculated,89.0584,129.63,9,q,22.32-
CANX|821_calculated,97.8206,129.4476,5,q,
S100A4|6275_calculated,100.0053,129.0248,1,q,12-
CD68|968_calculated,90.6476,128.6332,17,p,
APOA4|337_calculated,13.2448,128.4785,11,q,
C1QA|712_calculated,110.9696,127.801,1,p,36.3-
ZYX|7791_calculated,197.6516,127.7574,7,q,
DCN|1634_calculated,408.1971,127.7194,12,q,
FKBP8|23770_calculated,117.5217,127.1741,19,p,
NUCB1|4924_calculated,114.7637,126.8877,19,q,
LAPTM4A|9741_calculated,157.7888,126.7921,2,p,
KRT6A|3853_calculated,10.6461,126.7096,12,q,
RHOB|388_calculated,409.1106,126.1811,2,p,
NOP10|55505_calculated,86.2915,125.6473,15,q,14-
ALDH2|217_calculated,114.14,125.3879,12,q,
VAMP8|8673_calculated,63.4204,125.2726,2,p,12-
CLTA|1211_calculated,83.2619,125.2041,9,p,
GNB2|2783_calculated,89.15,125.1067,7,q,21.3-
PRSS8|5652_calculated,51.3587,124.7918,16,p,
CLDN4|1364_calculated,58.0334,124.6365,7,q,
TSPAN1|10103_calculated,55.5004,124.63,1,p,
SPP1|6696_calculated,48.017,124.5601,4,q,
GNB1|2782_calculated,110.7572,124.5059,1,p,
EIF3K|27335_calculated,102.3791,124.0637,19,q,
CSTA|1475_calculated,9.0085,123.8965,3,q,
ATP5G1|516_calculated,72.7145,123.1897,17,q,
CAP1|10487_calculated,113.5649,123.1342,1,p,
WARS|7453_calculated,60.473,122.7084,14,q,
XBP1|7494_calculated,66.0465,122.556,22,q,
GANAB|23193_calculated,92.3283,122.1488,11,q,
DEFA5|1670_calculated,10.8141,122.1071,8,p,
PRELID1|27166_calculated,66.3531,121.8631,5,q,
VDAC1|7416_calculated,72.2501,121.3643,5,q,
KLF5|688_calculated,66.9069,121.1282,13,q,
RARRES3|5920_calculated,73.2317,120.9902,11,q,
ATP5C1|509_calculated,84.8192,120.9665,10,p,
PSMB4|5692_calculated,76.9256,120.2774,1,q,
APLP2|334_calculated,119.7728,118.4386,11,q,
TMEM66|51669_calculated,110.4901,118.2438,,,
ALDH1A1|216_calculated,55.9444,118.0142,9,q,
PDIA4|9601_calculated,61.0451,118.0042,7,q,
SPINT1|6692_calculated,46.3759,117.9997,15,q,
GDI2|2665_calculated,85.7222,117.9322,10,p,
APRT|353_calculated,62.295,117.7482,16,q,
TSPAN3|10099_calculated,78.8997,117.2077,15,q,
CLDN7|1366_calculated,53.59,116.9024,17,p,
NQO1|1728_calculated,54.7633,116.1424,16,q,12-
TYROBP|7305_calculated,106.7667,116.0303,19,q,
C1QBP|708_calculated,66.1302,115.7356,17,p,
DQ582265|?|1of2_calculated,261.4503,115.7156,,,
RPS23|6228_calculated,121.8671,115.3356,5,q,
ALDOB|229_calculated,41.1593,115.2505,9,q,21.3-
ISG15|9636_calculated,73.4843,115.2237,1,p,
SPRR1B|6699_calculated,15.0826,115.1721,1,q,21-
RAB5C|5878_calculated,90.9314,114.7383,17,q,
C19orf10|56005_calculated,67.4932,114.4964,19,p,
RPL15|6138_calculated,122.4736,114.4302,3,p,
ROMO1|140823_calculated,75.5993,114.367,20,q,
GOLM1|51280_calculated,66.7408,114.2054,9,q,
CCT3|7203_calculated,68.9026,113.8095,1,q,
PRDX2|7001_calculated,71.9526,113.6767,19,p,
IGF2|3481_calculated,137.7278,113.5612,11,p,
SLC25A3|5250_calculated,88.3555,113.4962,12,q,
TOMM7|54543_calculated,143.1343,113.4143,7,p,
EEF1B2|1933_calculated,82.5747,112.4919,2,q,
CHMP4B|128866_calculated,96.335,112.3773,20,q,
ACTA2|59_calculated,716.7129,112.2984,10,q,
NDUFS6|4726_calculated,76.5113,112.0096,5,p,
ATF4|468_calculated,103.6626,111.7008,22,q,
CCDC72|51372_calculated,87.8441,111.4645,,,
ATP5L|10632_calculated,96.5189,111.0047,11,q,
